gene_name	description	gene_id	source	location	mgdb_id
arf1	ADP-ribosylation factor homolog1	GRMZM2G395844	EntrezGene	5:3054946-3058478	arf1
arpp1a	acidic ribosomal protein P1a	GRMZM2G032315	EntrezGene	6:4593924-4606490	arpp1a
arpp2a-2	acidic ribosomal protein P2a-2	GRMZM2G102891	EntrezGene	8:73231941-73234723	arpp2a-2
arpp2b	acidic ribosomal protein P2b (rpp2b)	GRMZM2G114954	EntrezGene	8:98594898-98599276	arpp2b
arpp3	acidic ribosomal protein P3	GRMZM2G077208	EntrezGene	5:56842476-56843934	arpp3
asn1	asparagine synthetase	GRMZM2G074589	MaizeGDB	9:106787618-106796954	asn1
atp6	ATPase subunit 6	GRMZM2G329636	EntrezGene	6:50938806-50943361	atp6(mtT)
atp9	ATPase subunit 9	GRMZM5G815325	EntrezGene	Mt:299238-300077	atp9(mtNA)
atp9	ATPase subunit 9	GRMZM5G896153	EntrezGene	3:185585387-185586226	atp9(mtNA)
atp9	ATPase subunit 9	GRMZM2G112193	EntrezGene	4:156774824-156776488	atp9(mtNA)
atp9	ATPase subunit 9	GRMZM2G054163	EntrezGene	4:111732897-111734466	atp9(mtNA)
atp9	ATPase subunit 9	GRMZM2G012910	EntrezGene	1:234706170-234708750	atp9(mtNA)
atpB	ATPase beta chain	GRMZM5G808402	EntrezGene	Pt:54176-56114	atpB (cp)
ATPB	mitochondrial F-1-ATPase subunit 2	GRMZM2G113408	EntrezGene	6:162937179-162940714	atpB (cp)
atpB	ATPase beta chain	GRMZM2G385622	EntrezGene	2:200098864-200103052	atpB (cp)
atpH	ATPase III subunit	GRMZM2G458118	EntrezGene	9:60617708-60620276	atpH (cp)
atpI	ATPase IV subunit	GRMZM5G875287	EntrezGene	Pt:32820-34639	atpI (cp)
AW231791	LOC100279542	GRMZM2G140590	EntrezGene	8:115015293-115029444	AW231791
AY104511	LOC100286036	GRMZM2G159724	EntrezGene	3:201684716-201689800	AY104511
AY106269	LOC100191179	GRMZM2G481843	EntrezGene	8:14589956-14595565	AY106269
AY106948	LOC100193551	GRMZM2G156251	EntrezGene	3:68048100-68057206	AY106948
AY107881	LOC100278802	GRMZM5G833124	EntrezGene	6:147655918-147660515	AY107881
AY110330	LOC100193608	GRMZM2G382569	EntrezGene	1:62140922-62142883	AY110330
az19D1	alpha zein 19kDa D1	AF546187.1_FG001	EntrezGene	1:161774740-161775462	az19D1
az22z4	22kD alpha zein4	GRMZM2G346897	EntrezGene	4:5140555-5141628	az22z4
az22z5	22kD alpha zein5	GRMZM2G088365	EntrezGene	4:5078343-5079419	az22z5
bd1	branched silkless1	GRMZM2G307119	EntrezGene	7:172207717-172209213	bd1
betl1c	basal endosperm transfer layer1c	GRMZM2G082799	EntrezGene	2:224992866-224993391	betl1c
betl1c	basal endosperm transfer layer1c	GRMZM2G082785	EntrezGene	2:224995417-224996267	betl1c
bk2	brittle stalk2	GRMZM2G109326	EntrezGene	9:123238778-123241089	bk2
brk1	brick1	GRMZM5G842058	EntrezGene	5:216693758-216695321	brk1
bx1	benzoxazinless1	GRMZM2G085381	EntrezGene	4:3256234-3258478	bx1
bx9	benzoxazinone synthesis9	GRMZM2G161335	EntrezGene	1:180306606-180308510	bx9
BZ1	UDPG-flavonoid 3-oxy glucosyl transferase	GRMZM2G165390	EntrezGene	9:11774733-11776491	bz1
Bz2	Bronze2	GRMZM2G016241	MaizeGDB	1:241371943-241373296	bz2
bzip1	bZIP transcription factor1	GRMZM2G117851	EntrezGene	3:212179339-212194812	bzip1
c2	chalcone synthase	GRMZM2G422750	EntrezGene	4:192580450-192583847	c2
cal2	calmodulin2	GRMZM2G067511	EntrezGene	3:38428236-38432826	cal2
cat2	catalase2	GRMZM2G090568	EntrezGene	1:7160314-7162590	cat2
ccp1	cysteine protease1	GRMZM2G098298	EntrezGene	5:158865959-158869458	ccp1
CDC2	protein cdc2 kinase	GRMZM2G008327	EntrezGene	1:3878457-3884044	cdc2
CDPK1	calcium dependent protein kinase	GRMZM2G314396	EntrezGene	2:14534118-14542446	cdpk1
cdpk1	calcium dependent protein kinase1	GRMZM2G115518	EntrezGene	5:60801754-60808528	cdpk1
cenH3	centromeric histone H3	GRMZM2G158526	EntrezGene	6:155249197-155253742	cenH3
CesA-1	cellulose synthase-1	GRMZM2G112336	EntrezGene	8:80220213-80226330	cesa1
cesa11	cellulose synthase 11	GRMZM2G037413	EntrezGene	2:29352837-29358720	cesa11
cesa11	cellulose synthase 11	GRMZM2G055795	EntrezGene	3:198366496-198372124	cesa11
CesA12	cellulose synthase catalytic subunit 12	GRMZM2G142898	EntrezGene	7:117513051-117517731	cesa12
CesA-2	cellulose synthase-2	GRMZM2G027723	EntrezGene	6:128560617-128567071	cesa2
CesA-3	cellulose synthase-3	GRMZM2G039454	MaizeGDB	3:11642742-11649787	cesa3
CesA-4	cellulose synthase-4	GRMZM2G424832	EntrezGene	7:18609337-18615348	cesa4
cesa5	cellulose synthase5	GRMZM2G111642	EntrezGene	1:290593939-290599907	cesa5
cesa6	cellulose synthase6	GRMZM2G113137	EntrezGene	1:296254082-296259864	cesa6
cesa7	cellulose synthase7	GRMZM2G025231	EntrezGene	7:37024548-37030325	cesa7
cesa8	cellulose synthase8	GRMZM2G177631	EntrezGene	7:26487882-26493965	cesa8
CesA-9	cellulose synthase-9	GRMZM2G018241	EntrezGene	2:161123950-161130108	cesa9
cncr1	cinnamoyl CoA reductase1	GRMZM2G131205	EntrezGene	1:211520099-211526173	cncr1
cncr2	cinnamoyl CoA reductase2	GRMZM2G131836	EntrezGene	7:47723245-47725613	cncr2
cob	apocytochrome b	GRMZM5G884707	EntrezGene	Mt:310906-312072	cob(mtNB)
cob	apocytochrome b	GRMZM2G314427	EntrezGene	1:234694135-234696649	cob(mtNB)
cob	apocytochrome b	GRMZM2G112030	EntrezGene	4:156785278-156790029	cob(mtNB)
cop2	coatomer protein2	GRMZM2G028929	EntrezGene	10:141964000-141969154	cop2
cox1	cytochrome c oxidase subunit 1	GRMZM2G450825	EntrezGene	1:234648987-234652195	coxI(mtNA)
cox2	cytochrome c oxidase subunit 2	GRMZM5G862955	EntrezGene	Mt:541369-545055	coxII(mtNA)
cox2	cytochrome c oxidase subunit 2	GRMZM2G109332	EntrezGene	9:72916000-72918258	coxII(mtNA)
cox3	cytochrome c oxidase subunit 3	GRMZM5G884538	EntrezGene	Mt:441570-442510	coxIII(mtNB)
cox3	cytochrome c oxidase subunit 3	GRMZM5G820250	EntrezGene	9:72756833-72757773	coxIII(mtNB)
cox3	cytochrome c oxidase subunit 3	GRMZM2G156536	EntrezGene	9:72942112-72944965	coxIII(mtNB)
cr4	crinkly4	GRMZM2G051637	EntrezGene	10:5587952-5591862	cr4
crp1	chloroplast RNA processing1	GRMZM2G083950	EntrezGene	7:155833422-155837398	crp1
crs1	chloroplast RNA splicing1	GRMZM2G078412	EntrezGene	1:220979365-220991421	crs1
crt2	calreticulin2	GRMZM2G358059	EntrezGene	7:24410021-24413947	crt2
csu454(gst)	LOC100282447	GRMZM2G096247	EntrezGene	1:7863549-7864761	csu454(gst)
csy1	Chloroplast SecY-1	GRMZM5G809546	EntrezGene	10:52419267-52447583	csy1
cyc1	cyclin1	GRMZM2G034647	EntrezGene	8:120060780-120063628	cyc1
cyp10	cytochrome P450 10	GRMZM2G370745	EntrezGene	3:216986019-216989235	cyp10
cyp8	cytochrome P-450 8	GRMZM2G167986	EntrezGene	1:243649093-243651434	cyp8
cys2	cysteine synthase2	GRMZM2G005887	EntrezGene	1:177027402-177032403	cys2
czog1	cis-zeatin O-glucosyltransferase1	GRMZM2G168474	EntrezGene	2:18460858-18463365	czog1
CZOG2_MAIZE	Cis-zeatin O-glucosyltransferase 2 (cisZOG2)(EC 2.4.1.215)	GRMZM2G110511	Uniprot/SWISSPROT	8:167407656-167409403	czog2
dbf1	DRE binding factor 1	GRMZM5G890323	MaizeGDB	1:217586061-217587630	dbf1
dbf2	DRE binding factor 2	GRMZM5G888608	MaizeGDB	9:115591844-115593328	dbf2
dek1	defective kernel1	GRMZM2G321753	EntrezGene	1:47291535-47321106	dek1
dfr1	dihydroflavanoid reductase-like1	GRMZM2G004683	EntrezGene	7:134084067-134086005	dfr1
dhn1	dehydrin1	GRMZM2G079440	EntrezGene	6:137142553-137144384	dhn1
dmt106	DNA methyl transferase 106	GRMZM2G065599	EntrezGene	8:129957981-129960165	dmt106
dnp1	diphosphonucleotide phosphatase1	GRMZM2G152757	EntrezGene	10:15716134-15720543	dnp1
drh1	DEAD box RNA helicase1	GRMZM2G362850	EntrezGene	3:163743655-163748723	drh1
DWF1	brassinosteroid biosynthesis-like protein	GRMZM2G057000	EntrezGene	5:65110874-65115984	dwf1
dxs1	deoxy xylulose synthase 1	GRMZM2G137151	EntrezGene	6:146378393-146382661	dxs1
dxs2	1-deoxy-D-xylulose 5-phosphate synthase 2	GRMZM2G493395	MaizeGDB	7:14077852-14081075	dxs2
eif3	eukaryotic initiation factor3	GRMZM2G093050	EntrezGene	3:7404875-7413183	eif3
eIF-4A	translation initiation factor	GRMZM2G116034	EntrezGene	5:56776697-56780802	eif4a
EIF5	Eukaryotic initiation factor-5	GRMZM2G165917	EntrezGene	4:237521017-237524915	eif5
eif7	eucaryotic initiation factor7	GRMZM2G022019	EntrezGene	5:30298480-30304150	eif7
elm1	elongated mesocotyl1	GRMZM5G861678	EntrezGene	8:158759002-158763168	elm1
emp2	empty pericarp 2	GRMZM2G039155	EntrezGene	2:177646906-177651736	emp2
eno1	enolase1	GRMZM2G064302	EntrezGene	9:22100864-22105552	eno1
eno2	enolase2	GRMZM2G048371	EntrezGene	1:125073872-125080812	eno2
esp1	embryo specific protein1	AC233879.1_FG002	EntrezGene	6:140347883-140348297	esp1
esp5	embryo specific protein5	GRMZM2G162659	EntrezGene	6:140312649-140313648	esp5
esr1	embryo surrounding region1	GRMZM2G046086	EntrezGene	1:14288359-14288941	esr1
exg1	exoglucanase1	GRMZM2G147687	EntrezGene	1:276305013-276310701	exg1
expa1	alpha expansin1	GRMZM2G339122	EntrezGene	3:184363236-184365593	expa1
EXPA5	alpha-expansin 5	GRMZM2G361064	EntrezGene	6:154130608-154132782	expa5
EXPB1	beta-expansin 1 protein	GRMZM2G146551	MaizeGDB	9:118020481-118021887	expb1
expB4	beta-expansin 4	GRMZM2G154178	EntrezGene	7:41053288-41054911	expb4
expB7	beta-expansin 7	GRMZM2G342246	EntrezGene	1:91502961-91504748	expb7
EXPB9	beta-expansin 9 protein	GRMZM2G072886	EntrezGene	9:117513331-117514659	expb9
fad7	fatty acid desaturase7	GRMZM2G128971	EntrezGene	9:137845861-137849035	fad7
fae2	fae2 protein	GRMZM2G022558	EntrezGene	9:86863072-86865460	fae2
fbn1	fibrillin1	GRMZM2G003318	EntrezGene	1:101266823-101270641	fbn1
fcr2	ferric-chelate reductase (NADH)2	GRMZM2G157263	EntrezGene	6:155214056-155218448	fcr2
fdh1	formaldehyde dehydrogenase homolog1	GRMZM5G824600	EntrezGene	5:215493131-215497186	fdh1
fdx3	ferredoxin3	GRMZM2G053458	EntrezGene	1:296017136-296022027	fdx3
fdx5	ferredoxin5	GRMZM2G122327	EntrezGene	6:1343660-1344909	fdx5
fer1	ferritin1	GRMZM2G325575	EntrezGene	4:183588190-183591209	fer1
fgs1	ferredoxin-dependent glutamate synthase1	GRMZM2G036609	EntrezGene	7:170961145-170979959	fgs1
fie2	fertilization independent endosperm2	GRMZM2G148924	EntrezGene	10:84092833-84097287	fie2
frk1	fructokinase 1	GRMZM2G086845	EntrezGene	3:168523033-168526394	frk1
frk2	fructokinase 2	GRMZM2G051677	EntrezGene	6:3570233-3573347	frk2
fus6	fusca homolog	GRMZM2G062210	EntrezGene	1:3554380-3564614	fus6
gar1	gibberellin responsive1	GRMZM2G061695	EntrezGene	3:219410617-219414475	gar1
gar2	gibberellin responsive2	GRMZM2G429000	EntrezGene	10:138806251-138807467	gar2
gbp2	GTP binding protein2	GRMZM2G045314	EntrezGene	1:257998950-258005932	gbp2
gdh1	glutamic dehydrogenase1	GRMZM2G178415	EntrezGene	1:287289676-287296815	gdh1
gl1	glossy1	GRMZM2G114642	EntrezGene	7:118517870-118523644	gl1
gl8b	beta-ketoacyl reductase GL8B	GRMZM2G389110	MaizeGDB	4:132761707-132763262	gl8b
gla3	beta-glucanase	GRMZM2G473711	EntrezGene	5:7255580-7258176	gla3
Glk1	Glk1 protein	GRMZM2G026833	EntrezGene	9:2711381-2713815	glk1
gln1	glutamine synthetase1	GRMZM2G098290	EntrezGene	10:146465614-146471079	gln1
glu1		GRMZM2G089409	MaizeGDB	5:81133-82138	glu1
glu1	beta glucosidase1	GRMZM2G016890	EntrezGene	10:34232717-34238135	glu1
glu2	beta-D-glucosidase precursor	GRMZM2G008247	EntrezGene	10:37754967-37759771	glu2
glx1	glyoxylase1	GRMZM2G181192	EntrezGene	10:60080812-60087313	glx1
gos1	GOS2 homolog	GRMZM2G113414	EntrezGene	3:189344756-189347802	gos1
gpa1	glyceraldehyde-3-phosphate dehydrogenase1	GRMZM2G337113	EntrezGene	2:42257261-42259297	gpa1
gpc4	cytosolic glyceroldehyde-3-phosphate dehydrogenase GAPC4	GRMZM2G176307	EntrezGene	5:181520274-181525066	gpc4
gpm105	LOC100194386	GRMZM2G035584	EntrezGene	5:183607887-183612875	gpm105
gpm109a	LOC100284210	GRMZM2G062527	EntrezGene	6:142475902-142477144	gpm109a
gpm110	LOC100193750	GRMZM5G821639	EntrezGene	3:144686962-144690119	gpm110
gpm120	LOC100273593	GRMZM2G422938	EntrezGene	2:60765875-60770124	gpm120
gpm152	LOC100192469	GRMZM2G020484	EntrezGene	8:13906441-13913673	gpm152
gpm16	LOC100279113	GRMZM2G072219	EntrezGene	2:219859795-219860407	gpm16
gpm175	LOC100279290	GRMZM2G177077	EntrezGene	10:99364726-99371326	gpm175
gpm203	LOC100279566	GRMZM2G163749	EntrezGene	5:212027167-212030047	gpm203
gpm233	LOC100273479	GRMZM2G450233	EntrezGene	6:125154676-125157008	gpm233
gpm24	LOC100279267	GRMZM2G174249	EntrezGene	3:145729813-145733247	gpm24
gpm248	LOC100193770	GRMZM2G050076	EntrezGene	7:133604601-133606977	gpm248
gpm274	LOC100285259	GRMZM2G085577	EntrezGene	3:178982016-178990918	gpm274
gpm298	LOC100279019	GRMZM2G504401	EntrezGene	3:182713971-182717776	gpm298
gpm300	LOC100282729	GRMZM2G155593	EntrezGene	2:50811886-50817094	gpm300
gpm345	LOC100285365	GRMZM2G159643	EntrezGene	8:171852176-171855863	gpm345
gpm374	golgi associated protein se-wap41	GRMZM2G073725	EntrezGene	1:248861739-248864579	gpm374
gpm417	LOC100216623	GRMZM2G015361	EntrezGene	8:4232302-4236201	gpm417
gpm458	LOC100193701	GRMZM2G044627	EntrezGene	4:155907661-155908892	gpm458
gpm461b	LOC100280696	GRMZM2G040397	EntrezGene	2:9503022-9507292	gpm461b
gpm462	LOC100286246	GRMZM2G103771	EntrezGene	3:54111220-54112524	gpm462
gpm464	LOC100273044	GRMZM2G022777	EntrezGene	3:196047077-196052203	gpm464
gpm480	LOC100280325	GRMZM2G138907	EntrezGene	4:9756175-9760067	gpm480
gpm51	LOC100284886	GRMZM2G100391	EntrezGene	5:8334096-8337341	gpm51
gpm542a	LOC100194157	GRMZM2G159475	EntrezGene	3:125713562-125716322	gpm542a
gpm554	LOC100285134	GRMZM2G364748	EntrezGene	10:68924719-68926477	gpm554
gpm564	LOC100285253	GRMZM2G071087	EntrezGene	5:38472076-38479696	gpm564
gpm628	LOC100283573	GRMZM2G084647	EntrezGene	3:135445422-135448935	gpm628
gpm633	LOC542766	GRMZM2G000531	EntrezGene	4:136667-140201	gpm633
gpm644	LOC100277605	GRMZM2G040689	EntrezGene	9:94474143-94476046	gpm644
gpm645	LOC542518	GRMZM2G138676	EntrezGene	5:1357106-1363098	gpm645
gpm647	LOC100272508	GRMZM2G063517	EntrezGene	7:129438351-129451320	gpm647
gpm693	LOC100193160	GRMZM2G092091	EntrezGene	1:272043212-272047015	gpm693
gpm707	LOC100284877	GRMZM2G024657	EntrezGene	5:3535610-3539246	gpm707
gpm714b	LOC100191440	GRMZM2G159720	EntrezGene	10:109709963-109713903	gpm714b
gpm720	LOC100284029	GRMZM2G179981	EntrezGene	5:130658345-130666795	gpm720
gpm745b	LOC100273659	GRMZM5G806449	EntrezGene	5:215288764-215297830	gpm745b
gpm803b	LOC542176	GRMZM2G166035	EntrezGene	4:237508371-237511930	gpm803b
GPN1	glyceraldehyde-3-phosphate dehydrogenase	GRMZM2G035268	EntrezGene	4:84106470-84111658	gpn1
grf1	general regulatory factor1	GRMZM2G102499	EntrezGene	2:41302953-41306867	grf1
GRF1	growth-regulating factor 1-like	GRMZM2G034876	EntrezGene	5:200291798-200295328	grf1
grf2	general regulatory factor2	GRMZM2G078641	EntrezGene	10:123105640-123116261	grf2
grp3	glycine-rich protein3	GRMZM2G154954	EntrezGene	5:31444526-31445711	grp3
gsh1	gamma-glutamylcysteine synthetase1	GRMZM2G111579	EntrezGene	6:24549898-24554957	gsh1
gst1	glutathione-S-transferase1	GRMZM2G116273	EntrezGene	8:173117675-173120538	gst1
gst11	glutathione transferase11	GRMZM2G119499	EntrezGene	1:7824444-7825878	gst11
gst12	glutathione S-transferase12	GRMZM2G096269	EntrezGene	1:7859737-7861541	gst12
gst14	glutathione transferase14	GRMZM2G175134	EntrezGene	1:85715197-85716538	gst14
gst16	glutathione transferase16	GRMZM5G895383	EntrezGene	7:147829607-147833191	gst16
gst19	glutathione transferase19	GRMZM2G335618	EntrezGene	6:103857605-103858686	gst19
gst2	glutathione S-transferase2	GRMZM2G132093	EntrezGene	10:90200516-90201913	gst2
gst23	glutathione transferase23	GRMZM2G416632	EntrezGene	7:128373590-128375197	gst23
gst24	glutathione transferase24	GRMZM2G032856	EntrezGene	5:211038249-211039523	gst24
gst30	glutathione transferase30	GRMZM2G044383	EntrezGene	1:81777188-81778493	gst30
gst31	glutathione transferase31	GRMZM2G475059	EntrezGene	1:8112583-8114662	gst31
gst35	glutathione transferase35	GRMZM2G161891	EntrezGene	9:155586843-155587852	gst35
gst4	glutathione S-transferase4	GRMZM2G146246	EntrezGene	3:154973687-154975444	gst4
gst40	glutathione transferase40	GRMZM2G054653	EntrezGene	1:81516122-81517310	gst40
gst41	glutathione transferase41	GRMZM2G097989	EntrezGene	6:147060736-147062116	gst41
gst7	glutathione transferase7	GRMZM2G028556	EntrezGene	3:149438575-149439658	gst7
GST8	glutathione S-transferase 8	GRMZM2G156877	EntrezGene	3:194169752-194171618	gst8
gst9	glutathione transferase9	GRMZM2G126763	EntrezGene	9:151720199-151721637	gst9
Hcf106	HCF106 precursor protein	GRMZM5G898735	EntrezGene	2:65182701-65189244	hcf106
hda101	histone deacetylase HDA101	GRMZM2G172883	EntrezGene	4:230797987-230804969	hda101
hda102	histone deacetylase	GRMZM2G119703	EntrezGene	2:58461182-58472168	hda102
hda108	histone deacetylase	GRMZM2G136067	EntrezGene	4:65957087-65962687	hda108
hdt102	histone deacetylase102	GRMZM2G100146	EntrezGene	8:136129273-136131879	hdt102
hdt103	histone deacetylase103	GRMZM2G159032	EntrezGene	6:161231386-161234113	hdt103
hir1	hypersensitive induced reaction1	GRMZM2G117755	EntrezGene	4:74457132-74461070	hir1
hir3	hypersensitive induced reaction3	GRMZM2G070659	EntrezGene	6:167574018-167576825	hir3
HK2	histidine kinase 2	GRMZM2G471529	EntrezGene	3:158889210-158895527	hk2
hm1	Helminthosporium carbonum susceptibility1	GRMZM5G881887	EntrezGene	1:199754467-199756329	hm1
hmg3	high mobility group protein3	GRMZM2G156785	EntrezGene	4:154624996-154627067	hmg3
hmgi/y	HMGI/Y protein	GRMZM2G106133	EntrezGene	1:215329050-215330563	hmgi/y
hon101	histone one (H1) 101	GRMZM2G080274	EntrezGene	2:16036480-16038592	hon101
hppd1	4-hydroxyphenylpyruvate dioxygenase 1	GRMZM2G088396	EntrezGene	5:83859479-83861633	hppd1
hscf1	heat shock complementing factor1	GRMZM2G139082	EntrezGene	9:107621912-107625729	hscf1
hsp101	heat-shock protein 101	GRMZM2G360681	EntrezGene	6:160621048-160624717	hsp101
hsp18a	18 kda heat shock protein18a	GRMZM5G899188	EntrezGene	9:132720194-132721007	hsp18a
hsp18a	18 kda heat shock protein18a	GRMZM2G404249	EntrezGene	9:132550417-132551258	hsp18a
hsp18f	heat shock protein18f	GRMZM2G083810	EntrezGene	3:8884623-8885815	hsp18f
hsp26	heat shock protein26	GRMZM2G149647	EntrezGene	1:33459256-33460463	hsp26
hyp1	hybrid proline-rich protein1	GRMZM2G304378	EntrezGene	9:15975038-15976941	hyp1
IBP1	initiator binding protein	GRMZM2G063151	MaizeGDB	9:139744606-139748920	ibp1
IDP105	LOC100283433	GRMZM2G066326	EntrezGene	6:39370370-39372017	IDP105
IDP109	LOC100278783	GRMZM5G892742	EntrezGene	4:18686550-18694448	IDP109
IDP1417	LOC100278925	GRMZM2G019200	EntrezGene	7:1946289-1954266	IDP1417
IDP1433	LOC100193622	GRMZM2G155096	EntrezGene	3:132847200-132851253	IDP1433
IDP1438	LOC100273196	GRMZM2G046284	EntrezGene	10:10194502-10196450	IDP1438
IDP154	dxr protein	GRMZM2G056975	EntrezGene	3:30226804-30233358	IDP154
IDP1602	LOC100282745	GRMZM2G105019	EntrezGene	3:217464401-217471380	IDP1602
IDP1611	LOC100284334	GRMZM2G427937	EntrezGene	7:168806885-168808961	IDP1611
IDP1628	LOC100277999	GRMZM2G148881	EntrezGene	8:174249222-174252863	IDP1628
IDP1639	LOC100216957	GRMZM2G139797	EntrezGene	10:130143802-130145730	IDP1639
IDP1660	LOC100192933	GRMZM2G048205	EntrezGene	5:39798255-39802675	IDP1660
IDP1696	LOC100282432	GRMZM2G174221	EntrezGene	3:145737418-145740276	IDP1696
IDP182	LOC100281414	GRMZM2G115975	EntrezGene	1:61698114-61711005	IDP182
IDP1992	LOC100284839	GRMZM2G010093	EntrezGene	10:7727567-7731272	IDP1992
IDP2141	LOC100277148	GRMZM2G078959	EntrezGene	2:173942703-173946976	IDP2141
IDP217	LOC100281977	GRMZM2G143627	EntrezGene	5:215652783-215654639	IDP217
IDP232	LOC100279332	GRMZM5G876898	EntrezGene	2:8906080-8909067	IDP232
IDP2361	LOC100283773	GRMZM2G112352	EntrezGene	5:193726750-193729189	IDP2361
IDP2365	LOC100279994	GRMZM2G176707	EntrezGene	8:135950853-135955026	IDP2365
IDP2392	LOC100280363	GRMZM2G155543	EntrezGene	10:132962163-132965961	IDP2392
IDP2421	LOC100276825	GRMZM2G146786	EntrezGene	4:146058085-146060637	IDP2421
IDP2428	LOC100272962	GRMZM2G047376	EntrezGene	9:104264956-104269979	IDP2428
IDP2455	LOC100284997	GRMZM2G136364	EntrezGene	2:55687675-55688855	IDP2455
IDP267	LOC100193043	GRMZM2G018223	EntrezGene	2:48660968-48665969	IDP267
IDP27	LOC100217272	GRMZM2G472991	EntrezGene	8:164735112-164742222	IDP27
IDP293	LOC100283133	GRMZM2G075408	EntrezGene	6:73857833-73861860	IDP293
IDP324	LOC100279072	GRMZM2G017578	EntrezGene	4:201459942-201463633	IDP324
IDP325	LOC100281194	GRMZM2G043414	EntrezGene	4:151798067-151822537	IDP325
IDP343	LOC100284677	GRMZM2G023575	EntrezGene	1:18128750-18134691	IDP343
IDP353	LOC100278255	GRMZM2G054120	EntrezGene	6:102290589-102293242	IDP353
IDP353	LOC100278255	AC233908.1_FG001	EntrezGene	7:23402189-23403197	IDP353
IDP374	LOC100282352	GRMZM2G456835	EntrezGene	8:135773274-135780035	IDP374
IDP3821	LOC100284581	GRMZM2G385999	EntrezGene	5:205226946-205227932	IDP3821
IDP388	LOC100282341	GRMZM2G574782	EntrezGene	4:18676199-18682894	IDP388
IDP427	LOC100276342	GRMZM2G034943	EntrezGene	3:223305505-223308255	IDP427
IDP454	LOC100272473	GRMZM2G090010	EntrezGene	4:26424308-26429093	IDP454
IDP456	LOC100278020	GRMZM2G409722	EntrezGene	2:196527072-196528446	IDP456
IDP471	LOC100280432	GRMZM2G150984	EntrezGene	5:215023744-215028711	IDP471
IDP476	LOC100272255	GRMZM2G158034	EntrezGene	4:37593455-37596232	IDP476
IDP48	LOC100274676	GRMZM2G046861	EntrezGene	10:64991663-65000897	IDP48
IDP52	LOC100272772	GRMZM5G828229	EntrezGene	10:82038497-82043288	IDP52
IDP635	LOC100276774	GRMZM2G088669	EntrezGene	6:141907720-141909845	IDP635
IDP694	LOC100281961	GRMZM2G027392	EntrezGene	9:1427343-1428678	IDP694
IDP716	LOC100272476	GRMZM5G804772	EntrezGene	1:205141785-205144776	IDP716
IDP716	LOC100272476	GRMZM5G825090	EntrezGene	1:204914762-205012952	IDP716
IDP717	LOC100277310	GRMZM2G097995	EntrezGene	9:89969800-89972429	IDP717
IDP754	LOC100282888	GRMZM2G461159	EntrezGene	7:118074244-118077015	IDP754
IDP756	LOC100285614	GRMZM2G007103	EntrezGene	9:122826541-122831114	IDP756
IDP767	LOC100281120	GRMZM2G053927	EntrezGene	7:50482435-50522847	IDP767
